Site,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,,
Jeen Yessa (Jamursba-Medi),4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,781,,1113,1510,1354,,
Jeen Syuab (Wermon),,,,,,,,,,,,,,,,,,,,,,2994,,,,,,,,,,650,,,869,1318,860,,
Huon Coast,,,,,,,,,,,,,,,,,,,,,,,,,249,,,,,527,193,199,,,,,,,
"Isabel Island NW (Sasakolo, Litogarhira)",,,,,,,,,X,,,,,,,,,,,,,,,,,,650,,,,315,,,,,,X,,
Buru Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203,,
Manokwari,,,,,,,,,,,,,,,,,,,,,,,,,,,,131,135,84,116,,,,,,,,
Tetepare,,,,,,,,,,,,,,,,,,,,,,30-50,,,,,,,,,,44,,,,,,,
"Rendova, Western Province",,,,,,,,,,,,,,,,,,,,,,,235,,,,,,,,,,,,,,29,,
Vangunu Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,,,,
"Voltlo Beach, Epi Island",,,,,,,,,,,,,,,,,,,,,,X,,,,,,31-41,,,,,,15,,,,,
"Waisurione, Malaita Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,
Wewe Koor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inggrasau Yapen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
New Britain Island,,,,,,,,,,,,,,,,,,,,,,,,140,,,140,,,,,,,,,,,,
Mandang,,,,,,,,,,,,,,,,,,,,,,,,50,,,50,,,,,,,,,,,,
Bougainville Island,,,,,,,,,,,,,,,,,,,,,,,,,68-160,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vachu, Choiseul Island",,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,
"Isabel Island SE (Haveo, Sosolilo)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,X,,,
"Bamboo Bay, Malekula Island",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
